unique.points.land_use.
NA
Do
do
pasture
Mill & Homestead
Pasture and Moory Mead
Pasture amd Moory Mead
arable &c
Meadow &c
Ara. & Pas
Moor pas &c.
Mead & Wood
Meadow &c.
Pas & Wood
Moory past
Past;ure
Ffyllon Ucha
Bencarreg Fawr
Ara. Pasd & Meadow
gravel
Gravel
rough pasture
Cottage & garden
House &c
Ara Wood & pas.
Troedrhiwcaer House & Homestead
Rough and Pasture
Plantations
Pasture & Rough
Turbary
Meadow & Rough
Pasture & rough
Wood & Rough pasture
Meadow & rough
Arable meadow
Arable Pasture
Ditto
arable meadow
Turbary & Pasture
Arable & Pastuer
Pasture & Land
do and Pasture
Wood &c
Arabel
Wood & Rough
Wood & rough
Nursery
Arable & rough
pas & Mead
ara & Mead
ara & mead
Mead & pas
arable & Mead
Clover Hay
plantations
Wood coppice
Coppice
Mead & past
arable + Mead
""" """
rough pas
pasture &c
pas & wood
Moory Pasture
ara & fields
ara & past
ara & hay
aqa & pas
Morry pas
Moory &c
ara & planted
>
mead & pas
mead & past
wood & pas
ara& pas
ara & mea
arable &c.
pasure
Houses etc.
Fern
Heath
Fruze
Mill
Houses and Garden
Park uchlawr y Ty
Park Tricornel
House Garden and Waste
Blaenwenen fach Cott & Garden
Blaenbarthen
Part of Dreforgan
Part of Park Quarrt
issa
arable & meadow
arable + pasture
pasture & garden
pasture & arable
a
pasture & Garden
Arable + Meadow
meadow & pasture
arable & Meadow
arable and meadow
"#"""
arable meadow & pasture
\arable and meadow
meadow and pasture
"arable, meadow"
Marian
House etc.
5
C87
F37
F38a
F41
F43
C236
Cae Godre issa
""" "" ucha"
Cae newydd
Banc Bwlch
Gofynach fach
Penclawdd fyn
House and Garden
Esgronnen fawr
Bont Faen fawr
9
3
H28
H31
K199
Cae Gwair
Havodyrwyn hamlet
Rhuddlanucha hamlet
Brynnau hamlet
Rhiwson hamlet
Maesymeillion
Llechwedd
Pwllybylwg
Cot
Tynrhelig
Cnwc y ddwyros
House and garden
Cam
Ddol ysa
Field
Cae Baily
Cae mawr
Cae rofft
Rhos yn olchsa
Talwin coch
Arbale
Past & Ara
Rushy pasture
Pasture &c
Past & Meadow
Pasture & Ara
Past & Arable
Mead & Ara
Mead & Arable
Waste & Road
Grass
Arable & Grass
Meadow & Plantation
Arable + Pasture
Pasture & arable
Waste &c
Rough pasture &c
Bog & Peat
Arable of meadow
Garden & pasture
arbale
Furze & Pasture
Pasture & Gravel
Arablel & pasture
arable & gravel
garden
furze & pasture
Gravel & furze
Furze & pasture
R. pasture
R Pasture
Arable & R pasture
Wood Pasture
Meadow & Arable
R. Pasture
pasture & Arable
pasture & Meadow
Clyn Garreg
Cottage etc
Pasture & turbary
meadow arable pasture
"arable, pastures, meadow"
pasture & meadow
arable pasture & meadow
pasture & turbary
Mill pond
meadow & arable
"Pasture, arable & meadow"
"arable, meadow & pasture"
arable & Pasture
arable meadow pasture
Pasture and turbary
Arable Meadow
arable & meadow and pasture
Medow
arable Pasture & meadow
Arable Meadow & pasture
Cliffs and pasture
Pasture & funze
Pasture and furze
Pasture and Cliffs
Arable and furze
Pasture & furze
Pasture & Cliff
Pasture & Cliffs
Pasture & Turbury
Wet pasture
Dremddufawr
Dremddufach
Gorwydd
Do.
Blaenwaun
Tyn yr Hewl
Pantyronnen
Cwm mawr
Cwmmmawr
Dyffryn y felin
Pantgwyn
Shopfach
Penbrysg
House & Garden etc
House and close
Clover & Ryegrass
Pasture & Sandy rough pasture
Rocky & pasture
Pasture or Furze
Arable pasture and Furze
Waste & Rocks
pasture & Furze
pasture or Meadow
Arable & Ryegrass
Pasture & Freeze
Meadow or Pasture
